X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
1,2016p085032_1,4,1,-3,-14.21375,-17.423,-3.20925,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32,-31.536,-54.76675,-57.976,-3.20925
2,2016p085032_5,80,31,-49,-15.201175,-16.28483871,-1.08366371,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32,-28.869,-55.754175,-56.83783871,-1.08366371
3,2016p086432_1,12,3,-9,-18.37791667,-15.99,2.387916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.93091667,-56.543,2.38791667
4,2016p086432_5,112,37,-75,-14.08521429,-13.90494595,0.18026834,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.63821429,-54.45794595,0.18026834
5,2016p110956_2,10,32,22,-16.6185,-13.00596875,3.61253125,2016p110956,2,5,3.758122064,91316.85023,27.286,2/11/2016 1:19,42,-13.267,-57.1715,-53.55896875,3.61253125
6,2016p110956_3,9,14,5,-15.23922222,-11.26207143,3.977150794,2016p110956,3,5,3.758122064,63220.77268,40.054,2/11/2016 1:18,42,-0.499,-55.79222222,-51.81507143,3.97715079
7,2016p110956_5,3,28,25,-9.077333333,-11.56714286,-2.489809524,2016p110956,5,5,3.758122064,253808.928,15.199,2/11/2016 1:19,42,-25.354,-49.63033333,-52.12014286,-2.489809527
8,2016p129367_3,1,0,-1,-15.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.047,NA,NA
9,2016p129367_4,1,0,-1,-6.672,NA,NA,2016p129367,4,8.772040367,3.025107617,48087.38816,17.251,2/17/2016 20:48,48,-23.302,-47.225,NA,NA
10,2016p143653_2,7,0,-7,-20.62928571,NA,NA,2016p143653,2,194.3353729,3.291146744,73237.05015,16.653,2/23/2016 3:40,54,-23.9,-61.18228571,NA,NA
11,2016p143653_3,12,0,-12,-14.41275,NA,NA,2016p143653,3,194.3353729,3.291146744,76394.26998,23.591,2/23/2016 3:40,54,-16.962,-54.96575,NA,NA
12,2016p143653_4,11,7,-4,-15.12409091,-13.291,1.833090909,2016p143653,4,194.3353729,3.291146744,13280.77547,24.712,2/23/2016 3:40,54,-15.841,-55.67709091,-53.844,1.83309091
13,2016p143653_5,4,4,0,-23.064,-17.42425,5.63975,2016p143653,5,194.3353729,3.291146744,114709.4637,10.761,2/23/2016 3:40,54,-29.792,-63.617,-57.97725,5.63975
14,2016p160705_1,11,1,-10,-21.73436364,-20.259,1.475363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62.28736364,-60.812,1.47536364
15,2016p160705_2,2,0,-2,-13.9815,NA,NA,2016p160705,2,19.79110527,3.171582444,159331.8795,8.307,2/29/2016 11:05,60,-32.246,-54.5345,NA,NA
16,2016p160705_3,1,2,1,-6.792,-10.729,-3.937,2016p160705,3,19.79110527,3.171582444,108722.7931,19.632,2/29/2016 11:05,60,-20.921,-47.345,-51.282,-3.937
17,2016p160705_4,3,4,1,-11.69766667,-13.6735,-1.975833333,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60,-32.625,-52.25066667,-54.2265,-1.97583333
18,2016p160705_5,1,3,2,-21.683,-18.11733333,3.565666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62.236,-58.67033333,3.56566667
19,2016p162941_2,1,4,3,-15.54,-16.16725,-0.62725,2016p162941,2,11.76574802,3.135690182,49130.79583,19.617,3/1/2016 6:56,61,-20.936,-56.093,-56.72025,-0.62725
20,2016p162941_3,1,4,3,-4.207,-11.33275,-7.12575,2016p162941,3,11.76574802,3.135690182,58089.22636,35.871,3/1/2016 6:56,61,-4.682,-44.76,-51.88575,-7.12575
21,2016p162941_4,1,11,10,-4.74,-12.59027273,-7.850272727,2016p162941,4,11.76574802,3.135690182,126550.416,16.557,3/1/2016 6:56,61,-23.996,-45.293,-53.14327273,-7.85027273
22,2016p162941_5,1,1,0,-15.619,-16.03,-0.411,2016p162941,5,11.76574802,3.135690182,226990.4519,5.467,3/1/2016 6:57,61,-35.086,-56.172,-56.583,-0.411
23,2016p180035_1,1,0,-1,-20.207,NA,NA,2016p180035,1,25.82084084,3.186169287,342227.6164,6.672,3/7/2016 14:45,67,-33.881,-60.76,NA,NA
24,2016p180035_2,6,60,54,-11.8355,-10.75356667,1.081933333,2016p180035,2,25.82084084,3.186169287,244736.5074,8.148,3/7/2016 14:44,67,-32.405,-52.3885,-51.30656667,1.08193333
