,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
1,2016p072185_3,3,0,-3,-8.373,NA,NA,2016p072185,3,35.65059662,3.26262868,100731.0104,26.63,1/27/2016 17:02,27
2,2016p072185_4,1,0,-1,-15.253,NA,NA,2016p072185,4,35.65059662,3.26262868,103800.3713,23.797,1/27/2016 17:02,27
3,2016p072185_5,164,51,-113,-9.525103659,-9.443607843,0.081495815,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27
4,2016p085032_1,1,8,7,-17.408,-16.01575,1.39225,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32
5,2016p085032_3,3,0,-3,-17.07733333,NA,NA,2016p085032,3,257.8292847,4.102486714,231398.9578,32.047,2/1/2016 11:07,32
6,2016p085032_5,60,129,69,-14.98338333,-14.2501938,0.733189535,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32
7,2016p086432_5,170,205,35,-15.35682941,-13.46314634,1.89368307,NA,NA,NA,NA,NA,NA,NA,NA
8,2016p110956_2,105,70,-35,-19.3362,-18.79731429,0.538885714,2016p110956,2,5,3.758122064,91316.85023,27.286,2/11/2016 1:19,42
9,2016p110956_3,69,75,6,-17.91808696,-17.13398667,0.78410029,2016p110956,3,5,3.758122064,63220.77268,40.054,2/11/2016 1:18,42
10,2016p110956_4,50,1,-49,-11.73722,5.042,16.77922,2016p110956,4,5,3.758122064,145878.8259,28.664,2/11/2016 1:19,42
11,2016p110956_5,1,5,4,-8.156,-9.5486,-1.3926,2016p110956,5,5,3.758122064,253808.928,15.199,2/11/2016 1:19,42
12,2016p128172_5,10,6,-4,-11.7691,-8.923,2.8461,NA,NA,NA,NA,NA,NA,NA,NA
13,2016p129367_1,10,1,-9,-12.0569,-9.474,2.5829,2016p129367,1,8.772040367,3.025107617,96899.46399,12.512,2/17/2016 20:48,48
14,2016p129367_2,1,0,-1,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2016p129367_3,1,1,0,-19.592,-15.494,4.098,NA,NA,NA,NA,NA,NA,NA,NA
16,2016p129367_4,2,7,5,-8.5365,-6.794285714,1.742214286,2016p129367,4,8.772040367,3.025107617,48087.38816,17.251,2/17/2016 20:48,48
17,2016p129367_5,8,5,-3,-15.459625,-19.2994,-3.839775,2016p129367,5,8.772040367,3.025107617,90059.94735,9.296,2/17/2016 20:48,48
18,2016p143653_1,4,0,-4,-11.7465,NA,NA,2016p143653,1,194.3353729,3.291146744,132760.7749,8.609,2/23/2016 3:40,54
19,2016p143653_2,1,12,11,-23.364,-20.81125,2.55275,2016p143653,2,194.3353729,3.291146744,73237.05015,16.653,2/23/2016 3:40,54
20,2016p143653_3,3,12,9,-11.46566667,-14.41275,-2.947083333,2016p143653,3,194.3353729,3.291146744,76394.26998,23.591,2/23/2016 3:40,54
21,2016p143653_4,12,15,3,-10.32533333,-15.13546667,-4.810133333,2016p143653,4,194.3353729,3.291146744,13280.77547,24.712,2/23/2016 3:40,54
22,2016p143653_5,13,4,-9,-21.92215385,-23.064,-1.141846154,2016p143653,5,194.3353729,3.291146744,114709.4637,10.761,2/23/2016 3:40,54
23,2016p160705_1,35,33,-2,-23.30048571,-22.73321212,0.567273593,NA,NA,NA,NA,NA,NA,NA,NA
24,2016p160705_2,43,2,-41,-16.54488372,-13.9815,2.563383721,2016p160705,2,19.79110527,3.171582444,159331.8795,8.307,2/29/2016 11:05,60
25,2016p160705_3,16,6,-10,-12.626625,-11.38966667,1.236958333,2016p160705,3,19.79110527,3.171582444,108722.7931,19.632,2/29/2016 11:05,60
26,2016p160705_4,38,5,-33,-13.60142105,-13.3292,0.272221053,2016p160705,4,19.79110527,3.171582444,169302.182,7.928,2/29/2016 11:05,60
27,2016p160705_5,13,3,-10,-21.18515385,-19.28966667,1.895487179,NA,NA,NA,NA,NA,NA,NA,NA
28,2016p162941_1,1,1,0,-15.793,-12.128,3.665,2016p162941,1,11.76574802,3.135690182,170725.9449,8.521,3/1/2016 6:57,61
29,2016p162941_2,3,1,-2,-17.868,-15.54,2.328,2016p162941,2,11.76574802,3.135690182,49130.79583,19.617,3/1/2016 6:56,61
30,2016p162941_3,14,12,-2,-4.829785714,-6.531666667,-1.701880952,2016p162941,3,11.76574802,3.135690182,58089.22636,35.871,3/1/2016 6:56,61
31,2016p162941_4,35,3,-32,-12.718,-2.395666667,10.32233333,2016p162941,4,11.76574802,3.135690182,126550.416,16.557,3/1/2016 6:56,61
32,2016p162941_5,13,10,-3,-20.97861538,-18.3506,2.628015385,2016p162941,5,11.76574802,3.135690182,226990.4519,5.467,3/1/2016 6:57,61
33,2016p180035_1,11,4,-7,-11.64127273,-17.50125,-5.859977273,2016p180035,1,25.82084084,3.186169287,342227.6164,6.672,3/7/2016 14:45,67
34,2016p180035_2,25,8,-17,-8.05112,-12.12825,-4.07713,2016p180035,2,25.82084084,3.186169287,244736.5074,8.148,3/7/2016 14:44,67
35,2016p180035_3,45,2,-43,-10.03588889,-6.2605,3.775388889,2016p180035,3,25.82084084,3.186169287,196003.8141,18.209,3/7/2016 14:44,67
36,2016p180035_5,18,31,13,-15.88838889,-12.49790323,3.390485663,2016p180035,5,25.82084084,3.186169287,264437.3536,8.559,3/7/2016 14:44,67
37,2016p183087_3,10,10,0,-1.3568,-5.1479,-3.7911,NA,NA,NA,NA,NA,NA,NA,NA
38,2016p183087_4,2,3,1,-6.4575,-5.501666667,0.955833333,2016p183087,4,14.7265625,3.071433717,217916.3272,10.134,3/8/2016 17:50,68
39,2016p183087_5,22,12,-10,-6.470409091,-6.084666667,0.385742424,NA,NA,NA,NA,NA,NA,NA,NA
40,2016p205021_1,2,51,49,-14.0975,-12.55552941,1.541970588,NA,NA,NA,NA,NA,NA,NA,NA
41,2016p205021_2,8,5,-3,-16.183,-16.4492,-0.2662,NA,NA,NA,NA,NA,NA,NA,NA
