,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
1,2016p072185_3,3,0,-3,-8.373,NA,NA,2016p072185,3,35.65059662,3.26262868,100731.0104,26.63,1/27/2016 17:02,27
2,2016p072185_5,153,27,-126,-9.478745098,-10.70496296,-1.226217865,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27
3,2016p085032_1,8,2,-6,-16.01575,-19.945,-3.92925,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32
4,2016p085032_3,1,0,-1,-16.302,NA,NA,2016p085032,3,257.8292847,4.102486714,231398.9578,32.047,2/1/2016 11:07,32
5,2016p085032_4,2,3,1,-3.1635,-11.76833333,-8.604833333,2016p085032,4,257.8292847,4.102486714,263842.7604,25.561,2/1/2016 11:07,32
6,2016p085032_5,156,93,-63,-14.26277564,-15.63735484,-1.374579198,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32
7,2016p086432_1,12,3,-9,-18.37791667,-15.99,2.387916667,NA,NA,NA,NA,NA,NA,NA,NA
8,2016p086432_3,1,0,-1,-19.449,NA,NA,2016p086432,3,194.428299,3.697536299,170893.0446,25.853,2/1/2016 23:33,32
9,2016p086432_5,278,86,-192,-13.7206223,-13.76723256,-0.046610256,NA,NA,NA,NA,NA,NA,NA,NA
10,2016p110956_2,118,38,-80,-19.84701695,-13.41605263,6.430964318,2016p110956,2,5,3.758122064,91316.85023,27.286,2/11/2016 1:19,42
11,2016p110956_3,145,14,-131,-17.54371034,-11.26207143,6.281638916,2016p110956,3,5,3.758122064,63220.77268,40.054,2/11/2016 1:18,42
12,2016p110956_4,11,184,173,-8.736,-7.521396739,1.214603261,2016p110956,4,5,3.758122064,145878.8259,28.664,2/11/2016 1:19,42
13,2016p110956_5,6,57,51,-9.3165,-12.80885965,-3.492359649,2016p110956,5,5,3.758122064,253808.928,15.199,2/11/2016 1:19,42
14,2016p128172_5,15,0,-15,-10.58866667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2016p129367_1,10,15,5,-11.6097,-18.12666667,-6.516966667,2016p129367,1,8.772040367,3.025107617,96899.46399,12.512,2/17/2016 20:48,48
