Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Date,Begin Hour,Begin Date Time,Begin Path,Begin File,File Offset (s),Delta Time (s),Energy,Tag,Notes,publicid
1,Spectrogram 1,1,745322.795,745392.795,3.2,140.5,1/27/2016,17,02:02.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160127\L7910NZ01_002K_M05_multi_20160127_170000Z.aif,L7910NZ01_002K_M05_multi_20160127_170000Z.aif,122.795,70,10.869,EQ,,2016p072185
2,Spectrogram 1,2,745322.236,745392.236,0,142.1,1/27/2016,17,02:02.2,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160127\L7910NZ01_002K_M05_multi_20160127_170000Z.aif,L7910NZ01_002K_M05_multi_20160127_170000Z.aif,122.236,70,16.026,EQ,,2016p072185
2,Spectrogram 1,5,745322.236,745392.236,0,142.1,1/27/2016,17,02:02.2,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160127\L7910NZ01_002K_M05_multi_20160127_170000Z.aif,L7910NZ01_002K_M05_multi_20160127_170000Z.aif,122.236,70,14.745,EQ,,2016p072185
3,Spectrogram 1,3,745322.795,745392.795,0,142.1,1/27/2016,17,02:02.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160127\L7910NZ01_002K_M05_multi_20160127_170000Z.aif,L7910NZ01_002K_M05_multi_20160127_170000Z.aif,122.795,70,26.63,EQ,,2016p072185
3,Spectrogram 1,4,745322.795,745392.795,0,142.1,1/27/2016,17,02:02.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160127\L7910NZ01_002K_M05_multi_20160127_170000Z.aif,L7910NZ01_002K_M05_multi_20160127_170000Z.aif,122.795,70,23.797,EQ,,2016p072185
6,Spectrogram 1,1,865346.8319,865451.925,0,140.9,1/29/2016,2,22:26.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160129\L7910NZ01_002K_M05_multi_20160129_021500Z.aif,L7910NZ01_002K_M05_multi_20160129_021500Z.aif,446.832,105.0931,17.224,EQ,,2016p075939
7,Spectrogram 1,2,865335.0928,865449.689,0,148.2,1/29/2016,2,22:15.1,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160129\L7910NZ01_002K_M05_multi_20160129_021500Z.aif,L7910NZ01_002K_M05_multi_20160129_021500Z.aif,435.093,114.5962,24.218,EQ,,2016p075939
8,Spectrogram 1,3,865326.7077,865451.925,0,146.3,1/29/2016,2,22:06.7,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160129\L7910NZ01_002K_M05_multi_20160129_021500Z.aif,L7910NZ01_002K_M05_multi_20160129_021500Z.aif,426.7075,125.2173,38.468,EQ,,2016p075939
9,Spectrogram 1,4,865334.5338,865453.043,0,140.9,1/29/2016,2,22:14.5,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160129\L7910NZ01_002K_M05_multi_20160129_021500Z.aif,L7910NZ01_002K_M05_multi_20160129_021500Z.aif,434.534,118.5093,28.92,EQ,,2016p075939
10,Spectrogram 1,5,865341.8008,865452.484,1.8,144.5,1/29/2016,2,22:21.8,E:\L7910_NZ01_20160119\L7910_NZ01_002K_AIFF\L7910NZ01_002K_M05_20160129\L7910NZ01_002K_M05_multi_20160129_021500Z.aif,L7910NZ01_002K_M05_multi_20160129_021500Z.aif,441.801,110.6832,19.111,EQ,,2016p075939
