"","publicid","origintime","longitude","latitude","magnitude","depth","Date","Time","DateTime","DateTime_PreviousQuake","HoursBetween","swarm","EventID","quakes_in_swarm","swarm_duration"
"1","2016p059756","2016-01-23T02:38:10.709Z",173.423645,-39.70542526,3.130042882,12,2016-01-23,"02:38:10",2016-01-23 02:38:10,NA,0,NA,1,1,0
"2","2016p069614","2016-01-26T18:10:40.081Z",173.1400146,-41.61542892,3.058572719,49.10004425,2016-01-26,"18:10:40",2016-01-26 18:10:40,2016-01-23 02:38:10,87.5416666666667,FALSE,2,1,0
"3","2016p072185","2016-01-27T17:00:13.558Z",173.7778473,-41.2877388,3.26262868,35.65059662,2016-01-27,"17:00:13",2016-01-27 17:00:13,2016-01-26 18:10:40,22.8258333333333,FALSE,3,1,0
"4","2016p075939","2016-01-29T02:20:19.699Z",174.4073334,-41.35260773,4.073348951,32.4768219,2016-01-29,"02:20:19",2016-01-29 02:20:19,2016-01-27 17:00:13,33.335,FALSE,4,1,0
"5","2016p085032","2016-02-01T11:05:09.422Z",175.3370819,-38.56066132,4.102486714,257.8292847,2016-02-01,"11:05:09",2016-02-01 11:05:09,2016-01-29 02:20:19,80.7472222222222,FALSE,5,1,0
"6","2016p086432","2016-02-01T23:31:04.592Z",174.9075623,-39.02223587,3.697536299,194.428299,2016-02-01,"23:31:04",2016-02-01 23:31:04,2016-02-01 11:05:09,12.4319444444444,FALSE,6,1,0
"7","2016p105478","2016-02-09T00:39:00.115Z",173.0748256,-42.06829695,5.745135209,48.125,2016-02-09,"00:39:00",2016-02-09 00:39:00,2016-02-01 23:31:04,169.132222222222,FALSE,7,1,0
"8","2016p110956","2016-02-11T01:17:22.921Z",175.1106873,-40.55738068,3.758122064,5,2016-02-11,"01:17:22",2016-02-11 01:17:22,2016-02-10 00:05:30,25.1977777777778,FALSE,9,1,0
"9","2016p125347","2016-02-16T09:05:14.407Z",174.8363495,-40.67397308,3.359171165,26.4154129,2016-02-16,"09:05:14",2016-02-16 09:05:14,2016-02-11 01:17:22,127.797777777778,FALSE,10,1,0
"10","2016p127070","2016-02-17T00:23:18.611Z",174.062439,-41.90037537,3.381678489,9.478432655,2016-02-17,"00:23:18",2016-02-17 00:23:18,2016-02-16 09:05:14,15.3011111111111,FALSE,11,1,0
"11","2016p128172","2016-02-17T10:10:15.126Z",174.1015015,-41.92209625,3.30248571,9.702926636,2016-02-17,"10:10:15",2016-02-17 10:10:15,2016-02-17 00:23:18,9.7825,FALSE,12,1,0
"12","2016p129367","2016-02-17T20:46:51.731Z",173.2274017,-39.98880768,3.025107617,8.772040367,2016-02-17,"20:46:51",2016-02-17 20:46:51,2016-02-17 10:10:15,10.61,FALSE,13,1,0
"13","2016p140897","2016-02-22T03:09:56.022Z",174.2548218,-41.89204025,4.968265244,7.667494297,2016-02-22,"03:09:56",2016-02-22 03:09:56,2016-02-21 18:00:59,9.14916666666667,FALSE,15,1,0
