X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
1,2016p072185_1,1.025056331,1.028723948,0.003667616,2016p072185,1,35.65059662,3.26262868,243815.6578,10.869,1/27/2016 17:02,27,-29.684
2,2016p072185_2,0.997114457,0.997644991,0.000530534,2016p072185,2,35.65059662,3.26262868,146022.3523,16.026,1/27/2016 17:02,27,-24.527
3,2016p072185_3,1.007315863,0.998427552,-0.008888311,2016p072185,3,35.65059662,3.26262868,100731.0104,26.63,1/27/2016 17:02,27,-13.923
4,2016p072185_4,1.01670543,1.017700452,0.000995022,2016p072185,4,35.65059662,3.26262868,103800.3713,23.797,1/27/2016 17:02,27,-16.756
5,2016p072185_5,1.19144283,1.203752552,0.012309722,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27,-25.808
6,2016p085032_1,1.1383671,1.145723699,0.007356599,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32,-31.536
7,2016p085032_2,1.041261902,1.062342019,0.021080117,2016p085032,2,257.8292847,4.102486714,187384.7539,20.373,2/1/2016 11:07,32,-20.18
8,2016p085032_3,1.008944502,1.02984484,0.020900338,2016p085032,3,257.8292847,4.102486714,231398.9578,32.047,2/1/2016 11:07,32,-8.506
9,2016p085032_4,1.038764053,1.055015861,0.016251809,2016p085032,4,257.8292847,4.102486714,263842.7604,25.561,2/1/2016 11:07,32,-14.992
10,2016p085032_5,1.195062691,1.211746445,0.016683754,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32,-28.869
11,2016p086432_1,1.084408993,1.086793416,0.002384423,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2016p086432_2,1.008528989,1.044734718,0.036205729,2016p086432,2,194.428299,3.697536299,124659.7797,16.352,2/1/2016 23:33,32,-24.201
13,2016p086432_3,1.068052046,1.070414821,0.002362776,2016p086432,3,194.428299,3.697536299,170893.0446,25.853,2/1/2016 23:33,32,-14.7
