X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
1,2016p072185_1,1.026890139,1.021383977,-0.005506163,2016p072185,1,35.65059662,3.26262868,243815.6578,10.869,1/27/2016 17:02,27,-29.684
2,2016p072185_2,0.997379724,0.978855716,-0.018524008,2016p072185,2,35.65059662,3.26262868,146022.3523,16.026,1/27/2016 17:02,27,-24.527
3,2016p072185_3,1.002871708,0.9690817,-0.033790008,2016p072185,3,35.65059662,3.26262868,100731.0104,26.63,1/27/2016 17:02,27,-13.923
4,2016p072185_4,1.017202941,0.986117826,-0.031085115,2016p072185,4,35.65059662,3.26262868,103800.3713,23.797,1/27/2016 17:02,27,-16.756
5,2016p072185_5,1.197597691,1.221377358,0.023779667,2016p072185,5,35.65059662,3.26262868,188836.2535,14.745,1/27/2016 17:02,27,-25.808
6,2016p085032_1,1.1420454,1.135444284,-0.006601115,2016p085032,1,257.8292847,4.102486714,183910.7533,9.017,2/1/2016 11:07,32,-31.536
7,2016p085032_2,1.05180196,1.06180719,0.01000523,2016p085032,2,257.8292847,4.102486714,187384.7539,20.373,2/1/2016 11:07,32,-20.18
8,2016p085032_3,1.019394671,1.075746696,0.056352025,2016p085032,3,257.8292847,4.102486714,231398.9578,32.047,2/1/2016 11:07,32,-8.506
9,2016p085032_4,1.046889957,1.025563548,-0.021326409,2016p085032,4,257.8292847,4.102486714,263842.7604,25.561,2/1/2016 11:07,32,-14.992
10,2016p085032_5,1.203404568,1.223300293,0.019895726,2016p085032,5,257.8292847,4.102486714,321258.3718,11.684,2/1/2016 11:07,32,-28.869
11,2016p086432_1,1.085601204,1.106975193,0.021373989,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2016p086432_2,1.026631854,1.050997159,0.024365306,2016p086432,2,194.428299,3.697536299,124659.7797,16.352,2/1/2016 23:33,32,-24.201
13,2016p086432_3,1.069233434,1.000163155,-0.069070279,2016p086432,3,194.428299,3.697536299,170893.0446,25.853,2/1/2016 23:33,32,-14.7
14,2016p086432_4,1.042544554,1.015465038,-0.027079516,2016p086432,4,194.428299,3.697536299,200459.0981,18.313,2/1/2016 23:33,32,-22.24
